file,text
data_kevin\arctic_a0403.wav,His newborn cunning gave him poise and control.
data_kevin\arctic_a0404.wav,Perrault found one with head buried in the grub box.
data_kevin\arctic_a0405.wav,It seemed the ordained order of things that dogs should work.
data_kevin\arctic_a0406.wav,And that was the last of Francois and Perrault.
data_kevin\arctic_a0407.wav,"Mercedes screamed, cried, laughed, and manifested the chaotic abandonment of hysteria."
data_kevin\arctic_a0408.wav,The Eldorado emptied its occupants into the street to see the test.
data_kevin\arctic_a0409.wav,He could feel a new stir in the land.
data_kevin\arctic_a0410.wav,So we have to fit the boat throughout with oil lamps as well.
data_kevin\arctic_a0411.wav,It will break our hearts and our backs to hoist anchor by hand.
data_kevin\arctic_a0412.wav,There is another virtue in these bulkheads.
data_kevin\arctic_a0413.wav,But I am at the end of my resources.
data_kevin\arctic_a0414.wav,Now our figuring was all right.
data_kevin\arctic_a0415.wav,It lasted as a deterrent for two days.
data_kevin\arctic_a0416.wav,The added weight had a velocity of fifteen miles per hour.
data_kevin\arctic_a0417.wav,"It is also an insidious, deceitful sun."
data_kevin\arctic_a0418.wav,The Portuguese boy crawled nearer and nearer.
data_kevin\arctic_a0419.wav,The Portuguese boy passed the Hawaiian.
data_kevin\arctic_a0420.wav,When I came to I was waving my hat and murmuring ecstatically.
data_kevin\arctic_a0421.wav,"By golly, the boy wins."
data_kevin\arctic_a0422.wav,Halfway around the track one donkey got into an argument with its rider.
data_kevin\arctic_a0423.wav,McVeigh when he returns from a trip to Honolulu.
data_kevin\arctic_a0424.wav,"Obviously, it was a disease that could be contracted by contact."
data_kevin\arctic_a0425.wav,Otherwise no restriction is put upon their seafaring.
data_kevin\arctic_a0426.wav,They do not know the length of time of incubation.
data_kevin\arctic_a0427.wav,Enters now the psychology of the situation.
data_kevin\arctic_a0428.wav,It was not exactly a deportation.
data_kevin\arctic_a0429.wav,"Quick was the disappointment in his face, yet smiling was the acquiescence."
data_kevin\arctic_a0430.wav,Nevertheless we found ourselves once more in the high seat of abundance.
data_kevin\arctic_a0431.wav,Wada and Nakata were in a bit of a funk.
data_kevin\arctic_a0432.wav,The boy at the wheel lost his head.
data_kevin\arctic_a0433.wav,"To her the bridge was tambo, which is the native for taboo."
data_kevin\arctic_a0434.wav,A half a case of tobacco was worth three pounds.
data_kevin\arctic_a0435.wav,What do you mean by this outrageous conduct.
data_kevin\arctic_a0436.wav,But Martin smiled a superior smile.
data_kevin\arctic_a0437.wav,By that answer my professional medical prestige stood or fell.
data_kevin\arctic_a0440.wav,"Yes, sir, I corrected."
data_kevin\arctic_a0441.wav,Violent life and athletic sports had never appealed to me.
data_kevin\arctic_a0442.wav,You live on an income which your father earned.
data_kevin\arctic_a0443.wav,He was worth nothing to the world.
data_kevin\arctic_a0444.wav,Then you don't believe in altruism.
data_kevin\arctic_a0445.wav,"The creative joy, I murmured."
data_kevin\arctic_a0446.wav,"He deluged me, overwhelmed me with argument."
data_kevin\arctic_a0447.wav,"Ah, it is growing dark and darker."
data_kevin\arctic_a0448.wav,"I was Hump, cabin boy on the schooner Ghost."
data_kevin\arctic_a0449.wav,"A sinewy hand, dripping with water, was clutching the rail."
data_kevin\arctic_a0450.wav,No man ate of the seal meat or the oil.
data_kevin\arctic_a0451.wav,I noticed blood spouting from Kerfoot's left hand.
data_kevin\arctic_a0452.wav,"Three oilers and a fourth engineer, was his greeting."
data_kevin\arctic_a0453.wav,"Eighteen hundred, he calculated."
data_kevin\arctic_a0454.wav,The sharp voice of Wolf Larsen aroused me.
data_kevin\arctic_a0455.wav,"I obeyed, and a minute or two later they stood before him."
data_kevin\arctic_a0456.wav,"But it won't continue, she said with easy confidence."
data_kevin\arctic_a0457.wav,What I saw I could not at first believe.
data_kevin\arctic_a0458.wav,The stout wood was crushed like an eggshell.
data_kevin\arctic_a0459.wav,There's too much of the schoolboy in me.
data_kevin\arctic_a0460.wav,I had forgotten their existence.
data_kevin\arctic_a0461.wav,"Ah, we were very close together in that moment."
data_kevin\arctic_a0462.wav,But she swung obediently on her heel into the wind.
data_kevin\arctic_a0463.wav,"They are his tongue, by which he makes his knowledge articulate."
data_kevin\arctic_a0464.wav,"Between the rush of the cascades, streaks of rust showed everywhere."
data_kevin\arctic_a0465.wav,He'll never do a tap of work the whole Voyage.
data_kevin\arctic_a0466.wav,"Captain West may be a Samurai, but he is also human."
data_kevin\arctic_a0467.wav,"And so early in the voyage, too."
data_kevin\arctic_a0468.wav,In the matter of curry she is a sheer genius.
data_kevin\arctic_a0469.wav,The eastern heavens were equally spectacular.
data_kevin\arctic_a0470.wav,He spat it out like so much venom.
data_kevin\arctic_a0471.wav,I saw Mr Pike nod his head grimly and sarcastically.
data_kevin\arctic_a0472.wav,"He is too keenly intelligent, too sharply sensitive, successfully to endure."
data_kevin\arctic_a0473.wav,The night was calm and snowy.
data_kevin\arctic_a0474.wav,I sailed third mate in the little Vampire before you were born.
data_kevin\arctic_a0475.wav,"His outstretched arm dropped to his side, and he paused."
data_kevin\arctic_a0476.wav,At this moment I felt a stir at my shoulder.
